,index,output,Ia,Ib,Ic,Va,Vb,Vc
0,11295,0,0.5079460612706308,0.4859066663454963,0.5019207254700486,0.9799283196456399,0.3603608928996508,0.18300284654112975
1,2656,1,0.628969071108892,0.016438684905308143,0.4664555773642186,0.4796908530409166,0.6309652964143175,0.401668896934578
2,166,0,0.5351246315151681,0.4828589593368831,0.47975117994734656,0.6472568843774638,0.8340511744282219,0.018609683720810122
3,9307,1,0.06472466338553012,0.9280543270905074,0.49948315594581255,0.5054434589633111,0.5404132856515669,0.47122768310042534
4,11780,0,0.530484920238751,0.5068886481727614,0.4586015082772601,0.5309997798687975,0.9153716874380464,0.0499884545007942
5,8014,0,0.46803066984338504,0.5137793911307407,0.5163126048187373,0.7136671675275941,0.05536814780824151,0.7730023262094413
6,6957,1,0.018559776565109876,0.6267970674078717,0.8486770126674225,0.48079465857993653,0.5444917284115025,0.4917643558083616
7,10348,0,0.46081356678269386,0.5501010017021465,0.4840825586560883,0.22406743884954006,0.31557884980276474,0.9919115409593058
8,10125,0,0.5211015556171485,0.489503205764119,0.48506457640621575,0.8898451212805056,0.5800281566092649,0.04208553019493472
9,2222,0,0.5222685504420611,0.5126289796179959,0.4605602436835422,0.23138451070991,0.9820581516033156,0.2815709998813467
10,6315,0,0.4732720243595503,0.5480471763194027,0.4769246732143179,0.06018184464345944,0.5422684129999976,0.9179575573312684
11,9787,0,0.529505855198457,0.5140872002455275,0.4526439527441423,0.4747852938474475,0.945084378167292,0.07529596434493652
12,2501,0,0.5136000779234513,0.4675737672132894,0.5144126032496174,0.9799340822638392,0.3877061832497765,0.15415467162070268
13,108,0,0.5191398530466885,0.4675681648060385,0.5109406446527074,0.9643676363243873,0.43825711582907556,0.11652239932091679
14,2392,0,0.4634023595428089,0.5098039499418902,0.5217923754740783,0.5593830144968934,0.08087255841161045,0.9015725262313143
15,5162,1,0.46030724310910787,0.6690773425020151,0.36842205999280786,0.18897738793890528,0.4811128028874096,0.8526750286499805
16,8978,1,0.0873446817614505,0.46493314044003325,0.9416968479539501,0.473922096718602,0.5403536131423978,0.5030544469329126
17,5201,1,0.4638079317571017,0.8717205809172127,0.1616833691421682,0.39885103000180205,0.4925455597580787,0.6291283710365773
18,1554,1,0.9845376584224934,0.5260002222205301,0.501852679000494,0.5218902265171993,0.2608419426544935,0.7495315020458995
19,3577,1,0.9124667498990829,0.5182329441596575,0.5181031267034998,0.5467045115766273,0.21254707447040316,0.7754652240742934
20,8791,1,0.845921835490967,0.6393482610653572,0.014600726929603625,0.5374149288306858,0.48869129308654746,0.49356391717849474
21,2495,0,0.5105193114861458,0.4679081878672481,0.5171304235919751,0.9895219516199396,0.34556553663503187,0.1889407811840461
22,2902,1,0.09117571631719817,0.9522244778315265,0.5064112774922322,0.5081604245315787,0.599767457832954,0.405886170935946
23,3700,0,0.519995104237239,0.4714922683675735,0.5139706020590181,0.9841455995240912,0.3833847034903257,0.15446882730366535
24,4874,1,0.4972056953446872,0.8718212384926387,0.12861193329670195,0.8213925125970123,0.5281174741749873,0.16581732367408364
25,6350,0,0.4622032162316239,0.5397934146316079,0.4961757576594102,0.24245946229942655,0.29333866273979947,0.9968358214778916
26,7013,1,0.29589055781962514,0.21383836891919916,0.9880181341890941,0.46997765039649775,0.5271155621387669,0.520992031324541
27,2988,1,0.14156752824707663,0.39349621172884264,0.46792728165020364,0.47179029048526866,0.8038208324859681,0.22731133559660005
28,877,1,0.23071808846011693,0.4647529257123338,0.5180002167360618,0.7887047029589485,0.22945807999941065,0.5137667323637637
29,1236,1,0.5349465080036048,0.4785299856267492,0.5229901171135743,0.8075111448121595,0.0604495912864092,0.673076863130005
30,112,0,0.5209839184810486,0.46776376437956857,0.5089160598854408,0.9524091209365138,0.46756964603223616,0.09765558918750916
31,10458,0,0.4870912715616613,0.4960256578974742,0.5123014796062108,0.9425841064306262,0.14747379865430954,0.44517638068924203
32,7285,1,0.1741031730436946,0.9881903784092753,0.3318441044355239,0.5170386319267399,0.5328706536249872,0.46749889023071073
33,2645,1,0.5465902350290699,0.044855754670699854,0.46427604242358295,0.47581686508925725,0.6752038915042554,0.35891214950904254
34,2019,0,0.4711021635685479,0.49489280807175967,0.5290466451965206,0.7557373787036634,0.04198445491300645,0.7447249239460255
35,9517,1,0.9643545993108382,0.11920874138023274,0.45477059255303304,0.5086141417152349,0.44058060318648934,0.5733308551031701
36,4201,0,0.5273192282279445,0.506568062059221,0.46523506850974145,0.37556987366504835,0.9685670068806753,0.15050631107135198
37,4686,1,0.48728402271346716,0.18711406636474237,0.8252812559566954,0.1390244084244286,0.49132348236283274,0.8922425597134669
38,11015,0,0.5222957132989933,0.5273196622186301,0.4460976288429128,0.2682221743423696,0.9975966024511179,0.2280608433761731
39,3399,1,0.20506138530210205,0.31176718364080525,0.4652839731769847,0.4703524782310656,0.7952962232623969,0.23775151531964034
40,8319,0,0.4716067206694304,0.5531422686852356,0.4732443426596566,0.07262104691838639,0.5177613795520024,0.9312713971869016
41,8454,0,0.4866771669227314,0.4935414428921707,0.5180854934705146,0.9317789762305955,0.12680726028335643,0.47786259765812084
42,1551,1,0.9888939749358248,0.5274881348853888,0.5005668529132792,0.5072396475492653,0.2798500681111149,0.7442460058441119
43,11154,0,0.46014270601401375,0.546401329522641,0.4885998937996403,0.26495616130469546,0.27583903122992914,0.9926237647169691
44,5547,0,0.46257003937029034,0.5487635555419957,0.4868942456420159,0.15723803210613385,0.4380869055992677,0.9300399687303014
45,4460,0,0.48926555598523397,0.48115799328637554,0.5284200668967788,0.9557689736193491,0.14269263650461927,0.43693301301606485
46,11029,0,0.5166565172331193,0.534774772594907,0.4442115484628065,0.17813512014356292,0.9912245380961393,0.3255617639078792
47,6440,0,0.47933586370628306,0.49418713679002807,0.5249343746859207,0.8739143429491949,0.07652254151669446,0.5892099924291043
48,5673,0,0.4969863556656632,0.4818028480466734,0.5199534332369464,0.9817282527142519,0.2140831123826531,0.33547515059089505
49,10914,0,0.5169970565168921,0.4865958357596748,0.4921913355552028,0.9348282945044502,0.4976434243193397,0.08365141341309279
50,5662,0,0.49080554420772576,0.48499400203288184,0.5228812644372044,0.9587919317756528,0.15755377416669847,0.41821205874298234
51,2579,1,0.13430693517900966,0.4066629061281533,0.47100529442429906,0.4859785920587039,0.7977471174759827,0.21942013165349988
52,460,0,0.4931875374115539,0.4757936035903811,0.5284192676629165,0.9600844862249598,0.1402993795394663,0.4351085858029288
53,3714,0,0.5241069457121691,0.4719033072038699,0.5069561796671543,0.9441051889241987,0.4848813991369724,0.08776387166155275
54,11106,0,0.47598784981691683,0.5566986201666464,0.4625507033504199,0.02833782942314772,0.616265642442499,0.8719981450212164
55,5168,1,0.4599833244455849,0.7063876703436072,0.33131520764440703,0.21541220170128955,0.48219023699666247,0.8249004569770259
56,4400,0,0.4632286215967315,0.5107897215058933,0.5245146977020674,0.6168713837594726,0.06319342870792416,0.8622889694833777
57,8393,0,0.4624064903915718,0.5248355042982743,0.5107584781230053,0.5592402429894687,0.09000229856337277,0.8920868279527818
58,8351,0,0.46204891743566456,0.5449437074324616,0.4909429568208045,0.24653617980955977,0.2919189344264989,0.9942252003573899
59,8128,0,0.5240249358399263,0.48591237588477226,0.48874262411763536,0.8784835724990163,0.5977797605422639,0.03481101717703111
60,4139,0,0.5267389544644794,0.4781652349078393,0.49431566531428556,0.824120753877872,0.6667446994899395,0.016851417177368655
61,233,0,0.5195591603340773,0.5183453101036166,0.4595811501755607,0.16582314656254538,0.9700984796277715,0.3602510924324075
62,8904,1,0.07680830367952268,0.9393570973516503,0.47616276094502347,0.5070655108181017,0.5395627726313679,0.4704902314871567
63,8027,0,0.4731570197869929,0.5067673071618518,0.5182637286012383,0.7986506454794393,0.05899514861553112,0.6835395867373882
64,6847,1,0.44331077603006885,0.955768408348869,0.09750902793867233,0.5328362124995355,0.5148365693238756,0.4706011949020402
65,2012,0,0.4685685332294595,0.498727374698325,0.5277106021837832,0.7078058338092106,0.0440808130738205,0.7908140309565166
66,8492,0,0.5077623360646977,0.48362329236759927,0.5071270781089763,0.9849543923353368,0.3369342839420969,0.20264726302051012
67,434,0,0.47967303057422156,0.48706240832441927,0.5305127714947732,0.8484698672292035,0.05656756632966775,0.6358976414117257
68,2557,1,0.0744432827261508,0.5498536412013328,0.48005866754591947,0.4742320719341664,0.7820876893633457,0.24777374412197395
69,183,0,0.5346001099101454,0.4912719799686301,0.47183060303650326,0.5179033513946385,0.9133225805613973,0.06534690877316002
70,9933,0,0.4645179739779197,0.5553757240547867,0.47505919566202576,0.1346850959618207,0.42005485733541303,0.9717856337952426
71,1269,1,0.28507736539717177,0.4663321542690422,0.5198207270555321,0.802276235326591,0.18457744595274655,0.5474285298872158
72,3459,1,0.6457948109384324,0.019368643295074872,0.46719073789981025,0.4799843938220678,0.6187686575015151,0.41423746914467074
73,8359,0,0.4609279443420492,0.5417555681514927,0.4952521836826097,0.3017585608023441,0.24248296830762495,0.9907204965646601
74,5920,0,0.47104660797417164,0.5478695089823576,0.4793577422841689,0.07896765729885452,0.5055989487052857,0.9377042603895385
75,3555,1,0.977838616680252,0.3577675723360122,0.5097886434439923,0.5270910682817775,0.24728596777224188,0.7585887813424799
76,1946,0,0.4641439585342386,0.5310806507535837,0.49963724908068236,0.22178287771818378,0.31265650813392076,0.9972960066561831
77,7011,1,0.28167152485436125,0.22653824685804708,0.9893746132115724,0.4699277025578239,0.5280332473049871,0.52007443667092
78,7857,0,0.5038699478567883,0.5453682284096069,0.44910254781357145,0.048689192640422596,0.9103896339494499,0.5412637787873015
79,2961,1,0.034046619440587844,0.6027179790557327,0.47762114210563444,0.4792762208761553,0.7880252135150805,0.23642820773695133
80,3281,1,0.2023778933138633,0.9968850076226746,0.5156172189391794,0.5190348524506034,0.5046732692585316,0.4952284265530936
81,10416,0,0.46709024779957337,0.5161106239557829,0.5119735703159626,0.7250583576240491,0.058285760466065595,0.7584461713100803
82,10199,0,0.5267187312850349,0.5199535381432907,0.44895853710746186,0.38332348701827235,0.9784093701671099,0.13231185171026832
83,10877,0,0.49793160701338074,0.489487910466809,0.5081863189310216,0.9822253626567825,0.24485955026741796,0.3025128539659099
84,8865,1,0.30669840479824995,0.9922943362813538,0.19512182010372786,0.5263045757463476,0.5239081504052994,0.4676148481090538
85,7253,1,0.39678410913159823,0.9723609822081652,0.12694654024326701,0.5308817347888563,0.5179203434326145,0.4693181042985663
86,3401,1,0.2176078113492132,0.297449291956121,0.4648966355701544,0.47019912268778896,0.792829716323759,0.24050759179331194
87,9599,1,0.7996443118141034,0.532688173565144,0.4983875224407849,0.6808052496057062,0.11449620570557473,0.7437518635561069
88,5263,1,0.4911746498679764,0.9069677704974821,0.09926512815135563,0.7725303560685941,0.5229162585921006,0.22054129533039696
89,1507,1,0.9281505747591883,0.5416230671790988,0.48181338015031233,0.30828911574385026,0.5939305839638749,0.613451315369924
90,7109,1,0.9419761268991256,0.08609419489499748,0.4755935490987715,0.5043052118239819,0.4839970298145617,0.5318795496926877
91,8256,0,0.5045055430616494,0.5444154272737097,0.44938774459927455,0.05235774853635655,0.9141077299522686,0.5336453521591026
92,2365,0,0.46163635087084687,0.523501326558586,0.5097957152178584,0.35307300560130467,0.19623199033416866,0.9877944314222287
93,984,1,0.11427277454862372,0.4970057743986685,0.4766285588671552,0.3477230892116523,0.9171197131699047,0.23283118254029272
94,5025,1,0.5194000815671185,0.07776787396572604,0.9031714372612288,0.45057550093487014,0.5213277752487707,0.5466480741253074
95,1502,1,0.9072404508440564,0.542151408550565,0.47991907490171304,0.28994342325661693,0.630037056778839,0.5938549220736341
96,10513,0,0.5163669543984943,0.48724949899550685,0.492090175486826,0.9377755063362884,0.49087455944331443,0.08782097300682518
97,8749,1,0.9942267874445254,0.3194058138794673,0.1885540854659234,0.5246281520852021,0.479695064796645,0.51593779565301
98,10220,0,0.5200440894246265,0.5315097620587228,0.4439859697150599,0.23370006237290503,0.9991401726140894,0.26122042294587555
99,5601,0,0.4639103827605088,0.5071858249931794,0.527287921634019,0.6271334469336384,0.056550384256295216,0.858954703189512
100,5852,0,0.5065225424658343,0.5376569629037126,0.4544388357603858,0.06906778808939912,0.9251148043912382,0.505197098785139
101,8057,0,0.48819157698115756,0.4929834505655485,0.5171833866322598,0.9417303204944646,0.13956511089047852,0.45437839950411807
102,8360,0,0.4608265972162576,0.5413302614799169,0.49577927031830504,0.3088946962046316,0.23660092578287933,0.9897335380031369
103,2269,0,0.4984636890860999,0.5330472558995621,0.4636861894577977,0.02590943773055665,0.8403071326326728,0.6381380784372706
104,9579,1,0.9046042908521954,0.5333944444175656,0.5077709410150183,0.5483689572822859,0.21715800542422697,0.7689246080662779
105,3782,0,0.53129837746172,0.49636168143197024,0.4722832799113221,0.5209903176903534,0.9119408536177673,0.06369357100918555
106,4893,1,0.5076524799875578,0.7860927957943179,0.20427698179404158,0.8828496165201509,0.5359293655283617,0.09564792135107492
107,7977,0,0.4603238439582127,0.5339407023858052,0.5037300382104066,0.435436130839253,0.1490582371013499,0.9545541541654583
108,9291,1,0.13953443695041962,0.9769930132697539,0.37621192273222237,0.5139652187563384,0.5352191542669616,0.46811886957355087
109,8817,1,0.6744109618669212,0.8165691089184042,0.006846514716554508,0.5385073367399444,0.49968947403402086,0.48086280494719214
110,3316,1,0.04091255389283077,0.89506165998477,0.4995246288174541,0.5006025150567561,0.6585381477065483,0.3515139944448429
111,29,0,0.4800040908657768,0.4893853668650368,0.5278539528130579,0.8210891924333259,0.04992048629999768,0.670499917371852
112,584,1,0.1453525153091263,0.49635337141638997,0.47597401218480495,0.34917458870005497,0.917119734912484,0.2313684951915021
113,10984,0,0.5297504303925721,0.510342990959585,0.4557335757490447,0.49929180063870077,0.9323636817457646,0.06401807189843844
114,7406,1,0.24707945491021754,0.25944231393579775,0.9906161638392429,0.4699511959963357,0.5302584745104381,0.517703711965017
115,1327,1,0.01443790049940158,0.46872753985647325,0.4999750429694158,0.6161881526280424,0.5781397033222556,0.31983930784762976
116,487,0,0.5082676684736727,0.46883805232702896,0.5204460810513866,0.9965226191660209,0.29174492390441986,0.23865340583381017
117,11529,0,0.4665712739167472,0.5533656412420269,0.47530066955848216,0.11583979748121193,0.4466096278775551,0.9627673199953967
118,11254,0,0.48526905159191774,0.4961235600796659,0.5141471883986395,0.9299231246331415,0.1297109406069079,0.4766700757278765
119,623,1,0.3772729833421435,0.5204519820163029,0.46774077012836657,0.22256245267343122,0.9815456060138632,0.2910015231803099
120,9936,0,0.4636005854534869,0.5546094846325855,0.4767368072707206,0.15103306428010327,0.3986131439818892,0.9779275043882356
121,7734,0,0.5266742940487797,0.48701700362173317,0.48504854060983055,0.8469701210530285,0.6418420994122789,0.020092240811077966
122,4891,1,0.5065873983886521,0.7964377512357457,0.19495304294917354,0.877897563807803,0.5351941790319149,0.10141350113878767
123,7762,0,0.5319236020590357,0.49709380973810785,0.4697309658833138,0.6673678854572459,0.8246253601370965,0.008285841088409074
124,1705,0,0.5238108939459849,0.4664835668031534,0.5114585093322359,0.9763110933162977,0.4164385717371652,0.12750012107355874
125,8539,1,0.08560200071736401,0.628197664472823,0.7799281259926415,0.4934801506051244,0.5388216861306963,0.48496174751247584
126,10857,0,0.4867284735579107,0.4956661657579249,0.5130919648615507,0.9398023418869095,0.14258164840197857,0.4531395243991457
127,9365,1,0.03868286930841047,0.5655118731357167,0.8890350007603872,0.47782571623185366,0.5433137604976979,0.49599859362199156
128,3373,1,0.07247197060496141,0.5097137570986376,0.4728132598542961,0.4752996111792442,0.801454209404062,0.22627121032451425
129,1669,0,0.4907335769522834,0.4782742229086693,0.5318019844299064,0.9592744401052146,0.18457744828230865,0.38922269317440883
130,5214,1,0.4677527964579257,0.9120833033018054,0.11729381787116117,0.48158254666056366,0.49826801718565783,0.5397247379026712
131,8357,0,0.46115667398096555,0.5425889255863199,0.4941895095515038,0.28763148928242377,0.2544543370143666,0.992329465670955
132,7026,1,0.3925745867556447,0.13878320411898215,0.9674583969716783,0.4711234629025686,0.5208399214643123,0.5264566197472944
133,7215,1,0.6892718191538321,0.8050701419930526,0.004796469940469283,0.5386119920635791,0.4987465255435768,0.48175191690791896
134,3060,1,0.6531624289212641,0.017620676727142126,0.4674539740847831,0.48036946838831945,0.6144772321989636,0.4183758014658021
135,7166,1,0.9574218158370755,0.44825335012543044,0.09692569756067465,0.5311834423947841,0.481811405940971,0.5070998771556918
136,6215,0,0.523712148070945,0.519084994680601,0.4559838808154248,0.27272182007424006,0.9895254393801014,0.23203962314750187
137,11658,0,0.48763452701597076,0.4939023832410944,0.5140960894079841,0.9438264895264491,0.14572825235302395,0.44576555210439606
138,556,1,0.08226265311198966,0.4844729234028019,0.4909114642253899,0.4815621125302185,0.7764069792412599,0.2463790332391208
139,10967,0,0.5304084910067001,0.501895209475592,0.4635537300794863,0.6290114850175499,0.8547091951436943,0.01520643764553653
140,1284,1,0.1865320278698261,0.463863525202748,0.5161078095193813,0.7731377173328274,0.2724155627084225,0.4841441731733313
141,3759,0,0.5316608254969899,0.4853636846287464,0.4834879734603394,0.6931382197616096,0.7970197070577549,0.011434267967150302
142,9173,1,0.9323273875903525,0.5019816163954033,0.06674820896380529,0.5333799947727932,0.4833161089136991,0.503299347639367
143,4130,0,0.5239847851608256,0.47589025169670535,0.4993301629035092,0.8731141257916335,0.6024838739792395,0.035260115105101186
144,6543,1,0.07670561609498094,0.6119228954199477,0.8059976007305427,0.49267110420616694,0.537078230223116,0.4876159223527851
145,2555,1,0.09050050594752446,0.5449613215404538,0.48102881561964933,0.5126067583236856,0.760939839394772,0.23140951482309335
146,3951,0,0.4611884090197042,0.534935621952312,0.5023898380944203,0.2508073535790626,0.282363254038167,1.0
147,863,1,0.3281933032779252,0.46789851658233356,0.5209320799708452,0.8093853782676096,0.1542744379805689,0.5722267174850457
148,4877,1,0.49888880340120184,0.8602755269825724,0.13852927279898697,0.8331491209609134,0.5294625749670937,0.15255154303899443
149,7286,1,0.16819641906565602,0.9866908870346787,0.3392048010065762,0.5165344922402311,0.5332732873694791,0.46758223093738893
150,7532,1,0.9133494334513478,0.12508332435525915,0.4648546174721781,0.5164756737083236,0.2830302596882123,0.731584638009962
151,3376,1,0.08450785233645247,0.4862935245676936,0.47172814425344844,0.4744616866668003,0.8032223159610393,0.22525067468460697
